timestamp,timestamp_ms,bid_price_0,bid_volume_0,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,bid_price_6,bid_volume_6,bid_price_7,bid_volume_7,bid_price_8,bid_volume_8,bid_price_9,bid_volume_9,bid_price_10,bid_volume_10,bid_price_11,bid_volume_11,bid_price_12,bid_volume_12,bid_price_13,bid_volume_13,bid_price_14,bid_volume_14,bid_price_15,bid_volume_15,bid_price_16,bid_volume_16,bid_price_17,bid_volume_17,bid_price_18,bid_volume_18,bid_price_19,bid_volume_19,ask_price_0,ask_volume_0,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5,ask_price_6,ask_volume_6,ask_price_7,ask_volume_7,ask_price_8,ask_volume_8,ask_price_9,ask_volume_9,ask_price_10,ask_volume_10,ask_price_11,ask_volume_11,ask_price_12,ask_volume_12,ask_price_13,ask_volume_13,ask_price_14,ask_volume_14,ask_price_15,ask_volume_15,ask_price_16,ask_volume_16,ask_price_17,ask_volume_17,ask_price_18,ask_volume_18,ask_price_19,ask_volume_19
2026-03-17 04:39:25.339974+00:00,1773722365339,74105.64,0.54511,74105.63,0.00072,74105.35,0.00409,74105.02,0.00014,74105.01,0.00041,74105.0,0.00017,74104.96,0.0004,74104.88,0.00015,74104.34,7e-05,74104.2,0.00012,74104.0,0.0016,74103.93,0.0011,74103.79,0.00151,74103.44,0.00011,74103.22,9e-05,74103.15,8e-05,74103.03,0.00016,74103.01,0.0001,74102.97,7e-05,74102.77,7e-05,74105.65,3.31941,74105.66,0.00016,74106.06,7e-05,74106.12,0.002,74107.27,0.10612,74107.44,0.00138,74107.98,0.002,74108.79,0.00766,74109.08,0.35384,74109.09,1.13343,74109.1,0.04711,74109.37,0.00264,74109.59,7e-05,74109.63,7e-05,74109.64,7e-05,74109.73,7e-05,74109.84,0.002,74109.88,7e-05,74109.99,1.55995,74110.01,0.09017
2026-03-17 04:39:26.606251+00:00,1773722366606,74105.64,0.18516,74105.63,0.00079,74105.35,0.00409,74105.02,0.00014,74105.01,0.00041,74105.0,0.00017,74104.96,0.0004,74104.88,0.00015,74104.34,7e-05,74104.2,0.00012,74104.0,0.0016,74103.93,0.0011,74103.79,0.00151,74103.6,7e-05,74103.44,0.00011,74103.22,9e-05,74103.15,8e-05,74103.03,0.00016,74103.01,0.0001,74102.77,7e-05,74105.65,2.901,74105.66,0.00016,74106.06,7e-05,74106.12,0.002,74106.57,7e-05,74107.27,0.10605,74107.44,0.00138,74107.97,0.00756,74107.98,0.002,74108.79,0.00766,74108.92,7e-05,74108.94,0.00028,74109.09,1.13343,74109.1,0.0403,74109.37,0.00264,74109.63,7e-05,74109.84,0.002,74109.99,1.55995,74110.01,0.04383,74110.02,0.00971
2026-03-17 04:39:27.873435+00:00,1773722367873,74100.0,9.83132,74099.99,0.00079,74099.96,0.00016,74099.89,0.00016,74099.76,0.00026,74099.71,0.00057,74099.58,0.00404,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00083,74098.96,0.00024,74098.92,7e-05,74098.63,8e-05,74098.27,0.00303,74098.25,8e-05,74098.16,9e-05,74098.04,7e-05,74100.01,2.48691,74100.02,0.00016,74100.13,0.00023,74100.14,0.01096,74101.58,0.00023,74101.59,0.00976,74102.4,0.002,74102.49,7e-05,74104.26,0.002,74104.97,0.00022,74105.03,0.00014,74105.2,0.003,74105.36,7e-05,74105.64,7e-05,74105.65,0.0403,74106.06,0.00015,74106.12,0.002,74106.54,7e-05,74107.43,0.00135,74107.44,0.00138
2026-03-17 04:39:29.139768+00:00,1773722369139,74100.0,9.66216,74099.99,0.00096,74099.96,0.00016,74099.89,0.00016,74099.76,0.00026,74099.71,0.00057,74099.57,0.00016,74099.56,0.0108,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00083,74098.96,0.00024,74098.92,7e-05,74098.63,8e-05,74098.38,7e-05,74098.27,0.00303,74098.25,8e-05,74100.01,1.30447,74100.02,0.00016,74100.13,0.00023,74100.14,0.01096,74101.58,0.00023,74101.59,0.00992,74102.1,7e-05,74102.4,0.002,74102.49,7e-05,74102.96,7e-05,74104.26,0.002,74104.97,0.00022,74105.03,0.00014,74105.2,0.003,74105.35,0.00059,74105.36,7e-05,74105.64,7e-05,74105.65,0.00014,74106.06,0.00015,74106.12,0.002
2026-03-17 04:39:30.405698+00:00,1773722370405,74100.0,9.60634,74099.99,0.00075,74099.96,0.00025,74099.89,0.00093,74099.76,0.00026,74099.71,0.00057,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00159,74098.96,0.00024,74098.92,7e-05,74098.63,8e-05,74098.55,0.00016,74098.38,7e-05,74098.27,0.00303,74098.25,8e-05,74098.16,9e-05,74100.01,1.3139,74100.02,0.0003,74100.13,7e-05,74100.14,0.00016,74100.54,0.002,74101.58,0.00023,74101.59,0.00992,74102.1,7e-05,74102.4,0.002,74102.49,7e-05,74104.26,0.002,74104.97,0.00022,74105.03,0.00283,74105.2,0.003,74105.35,0.00059,74105.36,7e-05,74105.64,7e-05,74105.65,0.00014,74106.06,0.00015,74106.12,0.002
2026-03-17 04:39:31.671388+00:00,1773722371671,74100.0,9.67725,74099.99,0.00075,74099.96,0.00034,74099.89,0.00093,74099.76,0.00026,74099.71,0.00057,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00159,74098.96,0.00086,74098.92,7e-05,74098.63,8e-05,74098.55,0.00016,74098.54,0.01105,74098.38,7e-05,74098.27,0.00303,74098.25,8e-05,74100.01,1.25255,74100.02,0.00023,74100.54,0.002,74101.5,0.00138,74101.58,0.00023,74101.59,0.00992,74102.1,7e-05,74102.4,0.002,74102.49,7e-05,74104.26,0.002,74104.72,0.00765,74104.97,0.00022,74105.03,0.00283,74105.2,0.003,74105.36,7e-05,74105.64,7e-05,74105.65,0.00014,74106.06,0.00015,74106.12,0.002,74106.54,7e-05
2026-03-17 04:39:32.935388+00:00,1773722372935,74100.0,9.64191,74099.99,0.00033,74099.96,0.00034,74099.89,0.00093,74099.76,0.00026,74099.71,0.00057,74099.61,0.00016,74099.6,0.04324,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00159,74098.96,0.00086,74098.92,7e-05,74098.68,0.002,74098.63,8e-05,74098.55,0.00016,74098.54,0.01105,74100.01,0.64121,74100.02,0.00058,74100.37,0.00138,74101.72,0.00023,74101.73,0.03145,74101.74,0.0934,74101.87,7e-05,74101.88,0.00552,74102.1,7e-05,74102.19,0.00556,74102.49,7e-05,74103.19,0.00556,74104.72,0.00765,74104.97,0.00022,74105.03,0.00014,74105.2,0.003,74105.36,7e-05,74105.62,0.00016,74105.63,0.02355,74105.64,0.07576
2026-03-17 04:39:34.201714+00:00,1773722374201,74100.0,9.3504,74099.99,0.00033,74099.96,0.00034,74099.89,0.00093,74099.76,0.00026,74099.71,0.00057,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00159,74098.96,0.00086,74098.92,7e-05,74098.68,0.002,74098.63,8e-05,74098.55,0.00016,74098.54,0.01105,74098.38,7e-05,74098.27,0.00303,74100.01,0.74746,74100.02,0.00044,74100.37,0.00138,74101.72,0.00023,74101.73,0.03145,74101.74,0.0934,74101.82,0.00556,74101.87,7e-05,74101.88,0.00552,74102.1,7e-05,74102.19,0.00556,74102.49,7e-05,74103.19,0.00556,74104.72,0.00765,74104.97,0.00022,74105.03,0.00014,74105.2,0.003,74105.36,7e-05,74105.62,0.00016,74105.63,0.02355
2026-03-17 04:39:35.463871+00:00,1773722375463,74100.0,8.27421,74099.99,0.00075,74099.96,0.00034,74099.89,0.00093,74099.76,0.00026,74099.71,0.00057,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00159,74098.96,0.00086,74098.92,7e-05,74098.68,0.002,74098.63,8e-05,74098.55,0.00016,74098.54,0.01105,74098.38,7e-05,74098.27,0.00303,74100.01,1.18062,74100.02,0.00037,74100.37,0.00138,74101.41,0.00028,74101.72,0.00023,74101.73,0.03145,74101.74,0.0934,74101.87,7e-05,74101.88,0.00552,74102.1,7e-05,74102.49,7e-05,74102.73,0.01096,74104.72,0.00765,74104.97,0.00022,74105.03,0.00014,74105.2,0.003,74105.36,7e-05,74105.63,0.04532,74105.64,0.07583,74105.65,0.00014
2026-03-17 04:39:36.730244+00:00,1773722376730,74100.0,8.34017,74099.99,0.00033,74099.96,0.00034,74099.89,0.00093,74099.76,0.00026,74099.71,0.00057,74099.3,0.00328,74099.12,7e-05,74099.11,0.00013,74099.09,0.00016,74099.07,0.00182,74099.0,0.00159,74098.96,0.00086,74098.92,7e-05,74098.68,0.002,74098.63,8e-05,74098.55,0.00016,74098.54,0.01105,74098.38,7e-05,74098.27,0.00303,74100.01,0.73398,74100.02,0.00023,74100.37,0.00138,74101.87,7e-05,74101.88,0.00552,74102.1,7e-05,74102.49,7e-05,74103.89,0.00016,74103.9,0.08959,74103.91,0.0934,74104.26,0.002,74104.35,0.01096,74104.72,0.00765,74104.97,0.00022,74105.03,0.00014,74105.2,0.003,74105.36,7e-05,74105.63,0.00016,74105.64,0.07583,74105.65,0.00014
2026-03-17 04:39:37.997598+00:00,1773722377997,74085.89,2.76061,74085.88,0.00016,74085.7,2.88503,74085.69,0.53362,74085.68,0.00012,74085.66,0.002,74085.58,0.03247,74085.21,0.00023,74085.15,0.00135,74084.64,7e-05,74084.55,0.00409,74084.5,0.00041,74084.45,1.13343,74084.44,3.84817,74084.43,0.70944,74084.25,0.00122,74084.22,7e-05,74084.0,0.0016,74083.8,0.002,74083.78,0.00038,74085.9,0.01299,74085.91,0.00016,74086.89,7e-05,74087.82,7e-05,74087.86,7e-05,74088.01,7e-05,74088.21,7e-05,74089.18,7e-05,74090.6,7e-05,74090.81,7e-05,74090.91,7e-05,74091.01,7e-05,74091.78,7e-05,74091.96,0.00015,74091.97,7e-05,74093.0,0.00403,74093.08,7e-05,74093.33,7e-05,74093.79,0.00016,74093.81,7e-05
2026-03-17 04:39:39.262949+00:00,1773722379262,74092.99,1.33884,74092.98,0.00032,74091.96,7e-05,74091.78,7e-05,74091.24,0.002,74091.1,0.0026,74090.93,7e-05,74090.9,7e-05,74090.8,7e-05,74090.6,0.00016,74090.59,0.11368,74089.42,0.00138,74089.38,0.002,74089.18,0.00016,74089.17,0.08159,74089.06,0.00135,74088.7,0.00028,74088.56,7e-05,74088.21,7e-05,74087.52,0.002,74093.0,0.74014,74093.01,0.00016,74093.5,7e-05,74093.51,0.00014,74094.1,0.00011,74094.42,8e-05,74094.94,7e-05,74095.35,7e-05,74095.51,7e-05,74096.56,0.00388,74096.88,9e-05,74097.08,0.00048,74097.32,7e-05,74097.33,8e-05,74097.61,0.00016,74097.62,0.03742,74097.63,0.0934,74098.19,0.003,74098.26,7e-05,74098.27,0.00303
2026-03-17 04:39:40.530838+00:00,1773722380530,74092.99,1.26791,74092.98,0.00065,74091.96,7e-05,74091.78,7e-05,74091.24,0.002,74091.1,0.0026,74091.03,0.00016,74091.02,0.02215,74090.93,0.00083,74090.9,7e-05,74090.8,7e-05,74090.6,0.00016,74090.59,0.11368,74089.44,0.0069,74089.42,0.00196,74089.4,9e-05,74089.38,0.002,74089.18,0.00016,74089.17,0.08166,74089.06,0.00135,74093.0,1.08169,74093.01,0.00016,74093.5,7e-05,74093.51,0.00014,74094.1,0.00011,74094.42,8e-05,74094.94,7e-05,74095.35,7e-05,74095.51,7e-05,74096.88,9e-05,74097.08,0.00048,74097.32,7e-05,74097.33,8e-05,74097.62,0.03054,74097.63,0.0934,74098.19,0.003,74098.26,7e-05,74098.27,0.00303,74098.56,0.00188,74098.67,7e-05
2026-03-17 04:39:41.794898+00:00,1773722381794,74097.99,2.57716,74097.98,0.00023,74096.82,0.002,74096.14,7e-05,74095.35,7e-05,74094.96,0.002,74094.09,0.10706,74093.1,0.002,74093.0,1.17837,74092.99,0.02392,74091.96,7e-05,74091.78,7e-05,74091.51,8e-05,74091.24,0.002,74091.1,0.0026,74091.02,0.02215,74090.93,0.00076,74090.9,7e-05,74090.84,7e-05,74090.8,7e-05,74098.0,0.50427,74098.01,0.00072,74098.19,0.003,74098.27,0.00303,74098.67,7e-05,74098.68,0.00014,74098.69,7e-05,74098.71,7e-05,74098.92,7e-05,74099.37,0.00016,74099.98,0.00023,74099.99,0.05512,74100.0,0.07936,74100.01,0.00075,74100.1,7e-05,74100.14,0.00016,74100.15,0.09542,74100.24,8e-05,74100.88,0.01097,74101.23,7e-05
2026-03-17 04:39:43.061204+00:00,1773722383061,74084.44,1.09507,74084.43,0.99592,74084.25,0.00122,74084.0,0.0016,74083.78,0.00038,74083.67,0.00025,74083.66,7e-05,74083.65,0.01085,74083.47,7e-05,74083.44,7e-05,74083.29,0.0005,74083.02,0.00146,74082.79,8e-05,74082.78,8e-05,74082.49,0.00017,74082.11,0.0006,74082.08,0.00029,74082.0,0.0016,74081.66,7e-05,74081.65,0.02206,74084.45,1.94303,74084.46,0.00048,74084.47,0.19606,74084.49,0.00016,74084.5,0.0003,74084.51,7e-05,74084.64,7e-05,74085.22,7e-05,74085.69,7e-05,74085.7,7e-05,74085.71,7e-05,74085.9,7e-05,74087.52,0.00216,74087.53,0.34453,74087.54,1.13343,74087.55,7e-05,74088.0,7e-05,74088.21,7e-05,74088.56,0.00027,74088.57,0.00014
2026-03-17 04:39:44.325926+00:00,1773722384325,74084.44,1.37617,74084.43,0.99575,74084.39,0.00138,74084.25,0.00122,74084.0,0.0016,74083.8,0.002,74083.78,0.00038,74083.67,0.00025,74083.55,0.01069,74083.47,7e-05,74083.44,7e-05,74083.29,0.0005,74083.03,0.00674,74083.02,0.00146,74082.79,8e-05,74082.78,8e-05,74082.73,7e-05,74082.49,0.00017,74082.11,0.0006,74082.08,0.00029,74084.45,0.41127,74084.46,0.00016,74084.5,7e-05,74084.64,7e-05,74087.53,0.00022,74087.89,0.00023,74087.9,0.04581,74087.91,7e-05,74087.92,0.0003,74087.93,0.05023,74088.05,7e-05,74088.21,7e-05,74089.4,9e-05,74089.64,0.003,74090.02,0.00016,74090.03,0.0934,74090.48,0.0108,74090.83,7e-05,74091.24,0.002,74091.49,0.00023
2026-03-17 04:39:45.590513+00:00,1773722385590,74084.44,1.11391,74084.43,0.99613,74084.39,0.00138,74084.25,0.00181,74084.0,0.0016,74083.78,0.00038,74083.67,0.00025,74083.47,7e-05,74083.44,7e-05,74083.29,0.0005,74083.02,0.00146,74082.93,0.01097,74082.79,0.0008,74082.78,8e-05,74082.73,7e-05,74082.49,0.00017,74082.11,0.0006,74082.08,0.00029,74082.0,0.0016,74081.94,0.002,74084.45,0.70671,74084.46,0.00016,74084.47,0.00269,74084.5,7e-05,74084.64,7e-05,74086.44,7e-05,74087.53,0.00022,74087.86,7e-05,74087.89,0.00023,74087.9,0.0336,74088.02,0.00016,74088.05,7e-05,74088.21,7e-05,74088.46,0.00016,74089.38,0.002,74089.4,9e-05,74089.64,0.003,74090.47,0.09738,74090.83,7e-05,74091.24,0.002
2026-03-17 04:39:46.855696+00:00,1773722386855,74084.44,1.18186,74084.43,0.99613,74084.39,0.00155,74084.25,0.00181,74084.0,0.0016,74083.8,0.002,74083.78,0.00038,74083.67,0.00067,74083.47,7e-05,74083.44,7e-05,74083.29,0.0005,74083.02,0.00146,74082.93,0.01097,74082.79,0.0008,74082.78,0.00049,74082.73,7e-05,74082.49,0.00017,74082.11,0.0006,74082.08,0.00029,74082.0,0.0016,74084.45,0.39108,74084.46,0.00037,74084.5,7e-05,74084.64,7e-05,74086.89,0.00023,74086.9,0.00039,74086.91,0.00016,74087.35,7e-05,74087.36,0.00016,74087.53,0.00022,74087.86,7e-05,74087.89,0.00023,74087.9,0.00016,74088.05,7e-05,74088.21,7e-05,74089.38,0.002,74089.4,9e-05,74089.64,0.003,74090.47,0.09738,74090.83,7e-05
2026-03-17 04:39:48.121673+00:00,1773722388121,74084.44,1.09964,74084.43,0.99613,74084.39,0.00155,74084.25,0.00181,74084.0,0.0016,74083.78,0.00038,74083.67,0.00067,74083.47,7e-05,74083.44,7e-05,74083.29,0.0005,74083.02,0.00146,74082.93,0.01097,74082.79,0.0008,74082.78,0.00049,74082.73,7e-05,74082.49,0.00017,74082.11,0.0006,74082.08,0.00029,74082.0,0.0016,74081.94,0.002,74084.45,0.47319,74084.46,0.0003,74084.5,7e-05,74084.64,7e-05,74085.51,0.00202,74085.7,7e-05,74085.8,0.00023,74085.81,0.06455,74085.82,0.0934,74086.44,7e-05,74087.04,0.00016,74087.05,0.09354,74087.45,0.00325,74087.53,0.00022,74088.05,7e-05,74088.21,7e-05,74089.38,0.002,74089.4,9e-05,74089.64,0.003,74090.42,0.02768
